Transaction_ID,Transaction_Date,Product,Price,Customer
1,2022-12-27,quail,11.05,Viviana Deabill
2,2022-02-05,apple,24.4,Erie Bowdrey
3,2022-09-11,turkey,6.69,Willette Dinneen
4,2022-12-08,shrimp,34.33,Care Halleday
5,2022-09-26,cucumber,28.01,Albina Charon
6,2022-04-22,tangerine,23.21,Tamiko Tiuit
7,2022-09-24,snail,31.46,Chloris Peealess
8,2022-12-15,banana,11.12,Hyman Jillions
9,2022-12-26,squirrel,43.69,Aime Runge
10,2022-05-22,trout,25.22,Berry Yellowley
11,2022-08-15,durian,2.28,Michal Morecombe
12,2022-12-19,pumpkin,48.06,Olag Collelton
13,2022-11-09,lettuce,28.45,Onida Fickling
14,2022-10-18,eggplant,27.37,Nolie Matterdace
15,2022-04-11,squirrel,38.24,Felicle Colmer
16,2022-03-27,scallop,28.34,Symon McKinnell
17,2022-10-08,goose,46.31,Marlin Radford
18,2022-01-04,venison,3.6,Nathanial Esparza
19,2022-10-15,kiwifruit,9.43,Garek Caldaro
20,2022-01-25,persimmon,8.9,Rees Haselden
21,2022-07-16,bell pepper,43.25,Ebeneser Bollen
22,2022-11-15,ginger,20.11,Fredelia Cosley
23,2022-12-04,plum,21.78,Sidonia Oene
24,2022-05-08,sweet potato,9.94,Isidro Hansman
25,2022-01-16,mushroom,27.13,Michaelina Tarte
26,2022-11-02,turkey,31.01,Tandie Yglesia
27,2022-04-14,apple,25.28,Carr Loveless
28,2022-02-01,squid,38.54,Georgeanna Edmott
29,2022-10-18,melon,14.13,Meagan Laurisch
30,2022-06-29,lime,15.16,Jeanne Everleigh
31,2022-09-22,squid,4.21,Codee Ephgrave
32,2022-10-15,pork,3.33,Chucho Popping
33,2022-09-02,venison,39.79,Lewiss Kettlestring
34,2022-02-16,apricot,48.78,Kirby Fonte
35,2022-12-27,venison,45.99,Levey Plastow
36,2022-09-11,honeydew melon,26.06,Oriana Capenor
37,2022-05-26,kangaroo,10.64,Kory Napolione
38,2022-12-30,banana,3.4,Josephine Fonte
39,2022-05-08,tangerine,49.92,Joletta Mathie
40,2022-08-14,turtle,37.88,Rhetta Shemilt
41,2022-06-10,orange,32.8,Kipper Iamittii
42,2022-05-04,lemon,31.61,Elfrida Gribble
43,2022-02-07,pineapple,2.5,Jobi Whittingham
44,2022-11-06,frog,1.99,Silas Halewood
45,2022-07-04,bacon,30.85,Kiri Epinoy
46,2022-09-04,kangaroo,19.59,Maria Caurah
47,2022-05-18,bacon,47.18,Frederik Tomaskov
48,2022-12-10,veal,46.51,Constantin Haydney
49,2022-12-24,cherry,34.63,Langston Furmagier
50,2022-01-25,date,41.88,Boonie Choudhury
51,2022-11-11,lime,20.94,Jarrod McArdell
52,2022-06-02,ginger,1.32,Winnifred Steade
53,2022-10-19,coconut,46.16,Bobbie Blakeway
54,2022-10-22,orange,41.38,Kellby Owlner
55,2022-11-21,guava,40.41,Liana Frankom
56,2022-05-04,durian,40.01,Roz Howell
57,2022-04-01,venison,39.52,Hillary Cartlidge
58,2022-02-13,grapefruit,14.35,Maure Swanson
59,2022-01-03,lettuce,45.47,Court Geerits
60,2022-10-28,ham,34.91,Shellysheldon Ebbrell
61,2022-02-18,passion fruit,40.33,Aveline Dolden
62,2022-04-10,ostrich,12.0,Orland Lenin
63,2022-05-01,kiwi,7.87,Tiphany Mostyn
64,2022-11-15,melon,46.46,Whitney Salandino
65,2022-08-24,lime,20.14,Norene Lorand
66,2022-08-25,cantaloupe,13.87,Elbertine Semered
67,2022-12-20,jackfruit,31.99,Camel Stoeck
68,2022-09-20,shrimp,45.31,Hubert Fishlee
69,2022-07-22,pumpkin,14.85,Antony Paulou
70,2022-12-10,bacon,24.15,Klaus Frise
71,2022-06-04,grape,5.98,Aliza Skiplorne
72,2022-06-07,potato,7.93,Michal Poytheras
73,2022-03-17,quail,30.64,Annabela Grassin
74,2022-03-05,clam,27.92,Suzie Kittow
75,2022-07-08,tomato,19.78,Sibilla Kiloh
76,2022-06-22,cherry,25.76,Yorgos Ludron
77,2022-01-23,shrimp,17.74,Saleem St Angel
78,2022-11-09,duck,23.51,Bryant Rooksby
79,2022-02-21,turkey,45.87,Colby Enticott
80,2022-03-02,goose,46.99,Caressa Ward
81,2022-07-02,orange,18.21,Pippy Rignall
82,2022-03-23,ginger,45.87,Ephrayim Jorg
83,2022-10-31,plum,7.97,Heath Hubbis
84,2022-02-16,plum,13.75,John Torvey
85,2022-05-14,dragonfruit,27.81,Angelo Eggers
86,2022-10-29,cucumber,5.94,Becka Slimings
87,2022-05-03,bell pepper,43.99,Herb Hendrich
88,2022-12-30,strawberry,3.31,Clay Scoines
89,2022-11-08,mushroom,6.06,Les Clemenceau
90,2022-05-22,lobster,1.09,Arturo Garm
91,2022-10-01,cauliflower,25.7,Audrye Petriello
92,2022-12-10,reindeer,24.1,Katherina Hurran
93,2022-05-11,coconut,9.74,Leta Gwyneth
94,2022-11-21,potato,8.7,Sutton Bailess
95,2022-06-01,lime,41.64,Dallas Teers
96,2022-12-20,honeydew melon,9.01,Christin Duerden
97,2022-03-16,lettuce,24.0,Lu Ragles
98,2022-11-17,sausage,9.41,Hortense Trees
99,2022-08-09,broccoli,39.7,Conrado Thurske
100,2022-01-27,blackberry,1.32,Correy Skellon
101,2022-03-16,lemon,45.13,Brandtr Axworthy
102,2022-01-28,squid,7.15,Engelbert Thirsk
103,2022-02-18,grape,42.99,Wanda McGirl
104,2022-12-29,cauliflower,38.69,Jessica Antram
105,2022-10-16,shrimp,9.86,Konrad Tittershill
106,2022-03-18,squirrel,21.3,Myrvyn Rivel
107,2022-04-19,ham,39.16,Sherye Tapscott
108,2022-08-14,kiwi,11.8,Barry Gasken
109,2022-06-04,ostrich,45.07,Anastassia Halford
110,2022-03-17,fig,28.52,Freida Whebell
111,2022-01-01,octopus,15.48,Wheeler Kurtis
112,2022-12-12,squirrel,16.06,Bradley Swinerd
113,2022-10-20,duck,48.64,Karyl Bohlmann
114,2022-03-14,avocado,10.74,Loreen Myerscough
115,2022-10-17,duck,15.61,Dell Hawkswood
116,2022-11-21,broccoli,28.38,Ernie Forward
117,2022-03-28,radish,3.01,Estelle Isacq
118,2022-05-29,onion,19.11,Monro Seman
119,2022-05-16,ginger,14.04,Ev Iggo
120,2022-07-20,celery,38.23,Davin Bilverstone
121,2022-08-03,artichoke,42.82,Pepillo Tipping
122,2022-07-12,passion fruit,42.18,Erwin Andreia
123,2022-04-29,honeydew melon,12.02,Nichole Van De Cappelle
124,2022-07-21,venison,35.4,Tremain Rozier
125,2022-05-17,lemon,13.15,Justin Astle
126,2022-06-18,beef,26.76,Kelsi Lapley
127,2022-05-29,kiwifruit,21.69,Aube Ivetts
128,2022-10-05,eggplant,46.35,Eugenius Holberry
129,2022-09-20,durian,45.09,Massimo Calley
130,2022-03-30,eggplant,12.18,Park Glendining
131,2022-01-06,ham,30.04,Trisha Craw
132,2022-08-28,sweet potato,43.87,Garreth Culpen
133,2022-01-28,coconut,37.26,Chiquita Rosenblum
134,2022-12-20,coconut,29.37,Lonna Rudgerd
135,2022-12-08,lychee,20.8,Goldia Zanettini
136,2022-08-24,squid,10.94,Kenna Ianizzi
137,2022-07-15,turkey,35.39,Archy Clunie
138,2022-08-19,lime,15.88,Daniele Murley
139,2022-05-31,ginger,18.76,Otha Lewens
140,2022-03-15,salmon,33.71,Charmain Bezemer
141,2022-12-29,pineapple,30.76,Dorelia Stathor
142,2022-12-28,date,34.29,Phyllis Apted
143,2022-10-12,tomato,16.19,Merissa Neljes
