Transaction_ID,Transaction_Date,Product,Price,Customer
1,2022-12-19,reindeer,46.66,Kristopher Oxlee
2,2022-04-23,duck,3.04,Rose Vigneron
3,2022-12-29,sausage,14.18,Sherwood Wardington
4,2022-03-20,ostrich,5.07,Bron Pitkeathly
5,2022-06-23,octopus,17.9,Reeba Kesey
6,2022-01-19,goose,40.35,Marya Weth
7,2022-04-14,cherry,40.99,Paule Bristoe
8,2022-10-07,apple,14.83,Herta Bacop
9,2022-10-21,blackberry,26.98,Chas Parker
10,2022-06-01,scallop,9.67,Ebeneser Toward
11,2022-07-27,rabbit,45.87,Kinna Bowmen
12,2022-10-04,strawberry,48.67,Fiorenze Whieldon
13,2022-01-25,tangerine,17.96,Virgina Hatherell
14,2022-02-17,pear,44.43,Meredith Redshaw
15,2022-02-09,date,7.32,Sheila-kathryn Ball
16,2022-12-19,lime,30.35,Archer Mattusevich
17,2022-10-05,kiwi,28.22,Dunn Behn
18,2022-01-17,asparagus,31.24,Frederick Loddy
19,2022-11-22,cucumber,24.8,Ansley Aleksidze
20,2022-06-04,lime,2.33,Kellen Goodlud
21,2022-08-30,pork,19.04,Weidar Krzyzaniak
22,2022-09-17,strawberry,10.11,Ignazio Dowsey
23,2022-01-22,cucumber,7.53,Cirstoforo Gorke
24,2022-06-08,asparagus,10.15,Zabrina Udey
25,2022-02-28,beef,9.25,Jaime Perrelli
26,2022-07-16,asparagus,35.51,Luce Esp
27,2022-02-14,shrimp,40.37,Lissa Fike
28,2022-05-22,radish,34.51,Anne Carle
29,2022-02-08,melon,42.32,Reggie Hoolaghan
30,2022-01-16,turkey,37.34,Whitby Richford
31,2022-03-23,frog,21.18,Kalvin Gantzer
32,2022-11-14,artichoke,42.19,Lane Sloam
33,2022-03-07,coconut,34.34,Dolores Mee
34,2022-06-16,cabbage,19.94,Lotty Escoffrey
35,2022-08-18,mushroom,12.2,Hadlee Grimsey
36,2022-01-12,ostrich,27.77,Oralee Legat
37,2022-10-22,spinach,5.9,Rooney Brundall
38,2022-04-19,apricot,17.13,Shanie Burg
39,2022-04-06,cauliflower,25.36,Auguste Jobes
40,2022-06-02,shrimp,42.52,Tresa Capnerhurst
41,2022-09-26,lychee,43.84,Roseanne McFall
42,2022-03-06,turtle,12.8,Forrest Courteney
43,2022-02-28,ginger,2.02,Gerri Dowdeswell
44,2022-10-16,strawberry,9.3,Adrianne Holsall
45,2022-06-28,pomegranate,30.27,Christy Sulland
46,2022-09-12,coconut,26.88,Blythe Peepall
47,2022-08-20,ostrich,11.5,Vyky Edsall
48,2022-02-07,turkey,6.22,Lyndsay Rohmer
49,2022-12-25,apple,37.93,Linet Jiruch
50,2022-11-26,broccoli,24.63,Sukey Fumagallo
51,2022-09-30,lettuce,12.52,Roshelle Thicking
52,2022-06-17,celery,8.22,Rickie Gabe
53,2022-02-10,grapefruit,22.63,Selena McCrachen
54,2022-11-03,kiwifruit,47.78,Blaire Corkish
55,2022-08-15,sausage,20.48,Ula Wickett
56,2022-06-12,trout,18.21,Conway Isac
57,2022-01-22,watermelon,30.84,Boot Pohls
58,2022-06-10,cherry,45.35,Hanna Reynold
59,2022-11-29,celery,25.95,Kelcie McEnery
60,2022-06-20,ham,1.95,Zenia Bootherstone
61,2022-01-31,kangaroo,34.01,Tito Tomaini
62,2022-04-12,clam,5.99,Maiga Simione
63,2022-02-11,shrimp,34.37,Antoinette Stolte
64,2022-09-04,cabbage,30.94,Dixie Romao
65,2022-10-05,reindeer,31.89,Ernestine Malin
66,2022-10-10,eggplant,3.06,Annabella Buzine
67,2022-08-06,carrot,5.82,Phebe Mcimmie
68,2022-09-01,guava,36.91,Dennie Van der Hoven
69,2022-07-07,honeydew melon,6.13,Cedric Betchley
70,2022-03-10,jackfruit,45.7,Artemas Bereford
71,2022-02-01,cabbage,2.35,Pierson Wadie
72,2022-09-25,fig,29.75,Nessy Ethridge
73,2022-03-20,lime,49.74,Kenton Colquit
74,2022-06-05,bacon,33.86,Norah Nibley
75,2022-04-10,carrot,45.5,Brendan Frye
76,2022-03-05,octopus,13.54,Blaine Tysall
77,2022-05-08,kiwifruit,4.67,Emera Willas
78,2022-01-09,squirrel,13.34,Sol Pulhoster
79,2022-01-12,coconut,46.3,Jonie Sansum
80,2022-08-01,cabbage,37.83,Jakie MacMechan
81,2022-01-08,shrimp,1.61,Patty Cutchee
82,2022-09-16,spinach,39.34,Stace Sedger
83,2022-08-28,honeydew melon,9.61,Emelita Giacaponi
84,2022-10-27,goose,37.85,Sylas McArt
85,2022-12-13,cucumber,20.28,Salomi Franzoli
86,2022-09-16,coconut,44.25,Jimmie Yanyshev
87,2022-10-24,turkey,45.57,Thekla O'Bradane
88,2022-07-04,kangaroo,46.77,Nester Poel
89,2022-08-07,durian,30.99,Leonid Palatino
90,2022-03-24,lettuce,2.22,Silvia Munnis
91,2022-05-28,clam,39.61,Glenda Ernshaw
92,2022-10-07,snail,47.41,Lizzy Plaskett
93,2022-01-14,durian,9.49,Verine Stoop
94,2022-07-08,strawberry,13.25,Hewett Eyes
95,2022-08-02,ham,24.15,Brenden Kurton
96,2022-07-04,cucumber,8.3,Clive Camili
97,2022-03-11,melon,13.28,Meriel Tapson
98,2022-07-24,liver,36.55,Ki Bodesson
99,2022-12-03,eel,33.69,Harriot Schaffel
100,2022-11-27,garlic,38.22,Phaedra Maccree
101,2022-02-02,duck,34.22,Andie Olech
102,2022-10-17,spinach,32.89,Darin Drakes
103,2022-09-24,asparagus,40.19,Mickie Kehoe
104,2022-06-14,celery,42.2,Camella Freeland
105,2022-11-16,blueberry,7.34,Kikelia Ayre
106,2022-10-09,lime,39.54,Stern Upstone
107,2022-11-13,cantaloupe,1.21,Minetta Anersen
108,2022-07-13,ostrich,42.47,Benedikt Tumbridge
109,2022-12-25,fish,27.47,Farlay Arlett
110,2022-12-10,bacon,25.8,Paula Abell
111,2022-09-04,mango,7.67,Elke Cridlan
112,2022-09-11,apple,7.19,Ranna Painswick
113,2022-12-12,tangerine,38.58,Louise Dack
114,2022-08-28,raspberry,25.28,Rolf Schaumann
115,2022-05-22,mango,11.62,Krystyna Epine
116,2022-04-14,ginger,15.03,Minnnie Cunnah
117,2022-07-08,liver,19.74,Ethan Letixier
118,2022-05-31,watermelon,41.99,Joela Assiter
119,2022-03-16,shrimp,24.67,Lexie Ickovici
120,2022-03-29,passion fruit,45.98,Anett Macken
121,2022-08-06,eel,8.24,Araldo Dugmore
122,2022-11-14,potato,30.62,Agneta Bestwick
123,2022-08-22,squid,22.92,Ida Bourtoumieux
124,2022-03-14,mango,22.99,Papagena Vasentsov
125,2022-05-29,strawberry,21.42,Jannel Hammill
126,2022-09-19,frog,25.95,Dana Leguay
127,2022-09-22,fish,16.84,Salome Bartolini
128,2022-03-19,trout,18.38,Myrtia Rudolfer
129,2022-02-26,eel,17.3,Blayne Blakelock
130,2022-03-26,octopus,28.55,Chantalle Durtnel
131,2022-09-20,blackberry,49.62,Melosa Simioni
132,2022-12-09,cherry,26.85,Thekla Sedgeman
133,2022-05-30,strawberry,14.32,Jany Dunphy
134,2022-11-12,fish,49.24,Joshua Cotta
135,2022-08-20,banana,12.32,Elle Ledgister
136,2022-05-21,jackfruit,23.9,Elsa Grunbaum
137,2022-12-21,grapefruit,24.0,Wain O'Shavlan
138,2022-08-18,squirrel,9.85,Deedee Dethloff
139,2022-01-24,oyster,36.13,Jenine Doy
140,2022-05-31,spinach,20.96,Rosalinde Plevey
141,2022-12-19,ostrich,8.79,Kirsten Gibson
142,2022-03-12,onion,14.44,Kayla Jira
143,2022-09-15,ham,21.82,Carlie Duplain
144,2022-03-18,pumpkin,2.55,Adrian Brack
145,2022-10-10,bell pepper,42.17,Shelba Callum
146,2022-04-04,carrot,12.85,Natalee Mohun
147,2022-08-01,dragonfruit,4.73,Tedie Maple
148,2022-05-14,lemon,21.58,Isac Cavell
149,2022-01-15,persimmon,22.37,Rustie Lere
150,2022-03-31,chicken,21.79,Tabbitha Firpo
151,2022-06-10,liver,49.21,Maximilianus Ebi
152,2022-08-05,banana,43.69,Janaye Schnieder
153,2022-03-23,squirrel,49.23,Lizabeth Laffling
154,2022-04-18,bell pepper,3.53,Pauletta Roughley
155,2022-09-25,squirrel,16.03,Jacquelin Purver
156,2022-08-04,quail,14.04,Cordie Iohananof
157,2022-06-02,eggplant,25.74,Jilleen Buffin
158,2022-03-09,lychee,7.49,Silvan Jugging
159,2022-11-28,papaya,17.65,Verla Getley
160,2022-06-27,asparagus,43.61,Valentine Dulake
161,2022-05-16,fish,18.3,Ami Guice
162,2022-05-22,lettuce,32.04,Lucille Quillinane
163,2022-12-22,artichoke,7.35,Den Frostdyke
164,2022-08-18,onion,43.52,Lisle O'Meara
165,2022-04-05,liver,44.82,Kerry Ivens
166,2022-12-25,kiwifruit,4.4,Clemmy Lemary
167,2022-08-03,snail,20.45,Claudius Geibel
168,2022-12-16,garlic,16.78,Brendan Sivorn
169,2022-08-03,squid,43.78,Kerwinn Liveing
170,2022-08-24,guava,34.24,Imelda Warmisham
171,2022-04-28,ostrich,36.88,Georgine Theml
172,2022-12-22,kiwi,44.77,Tommie Pottie
173,2022-04-06,clam,23.23,Reilly Filimore
174,2022-09-14,sausage,45.93,Pat Hedworth
175,2022-08-16,spinach,36.15,Yasmin Badham
176,2022-05-13,tomato,21.34,Kelsi Tofano
177,2022-05-03,strawberry,43.7,Tarah Pigford
178,2022-07-08,cherry,18.82,Francklin Behning
179,2022-04-09,blackberry,25.68,Sinclair Buss
180,2022-10-04,sweet potato,4.18,Horton Probert
181,2022-02-01,blackberry,39.52,Malorie Mingaye
182,2022-11-10,ginger,40.25,Kristan Ackwood
183,2022-07-28,cabbage,2.61,Mahmud Caps
184,2022-07-25,octopus,34.88,Clevie Brockie
185,2022-08-09,peach,3.51,Gaye Nendick
186,2022-10-25,cherry,46.16,Gaynor Kesley
187,2022-10-23,liver,44.25,Donal Adolfsen
188,2022-03-08,quail,24.79,Alma Eliet
189,2022-11-12,pumpkin,37.61,Tailor Stuttard
190,2022-04-27,honeydew melon,31.83,Merrel Deek
191,2022-09-09,turkey,17.15,Ozzie Defont
192,2022-07-13,snail,28.4,Florance Lathan
193,2022-06-10,apricot,20.68,Adrea Summerscales
194,2022-01-14,cucumber,39.86,Daisy Weatherhead
195,2022-08-10,onion,35.95,Mair Scimone
196,2022-08-24,turtle,14.71,Nadiya Gamage
197,2022-11-04,strawberry,14.22,Barbey Sturm
198,2022-09-23,fig,49.23,Kit Stiles
199,2022-01-11,fish,25.19,Oliver Prendergrast
200,2022-05-10,melon,17.99,Grannie Stollwerck
201,2022-11-23,celery,14.28,Deane Ragsdall
202,2022-12-15,lemon,36.41,Leisha Damant
203,2022-11-27,melon,34.54,Karolina Paish
204,2022-07-30,zucchini,7.04,Aguistin Woller
205,2022-07-21,onion,5.64,Jen Oglevie
206,2022-03-31,potato,4.14,Hughie Lotze
207,2022-05-28,pomegranate,15.0,Cati Shirrell
208,2022-11-16,lettuce,49.07,Claude Cowup
209,2022-04-28,potato,25.97,Odell Greenhalgh
210,2022-10-30,melon,27.19,Daryn Cloute
211,2022-09-15,reindeer,49.88,Elvina Littleton
212,2022-05-28,turtle,45.21,Sargent Walcher
213,2022-04-25,venison,35.74,Karla Le Pruvost
214,2022-01-12,bacon,8.43,Malynda Lorente
215,2022-05-27,strawberry,49.75,Perkin Martynka
216,2022-08-19,chicken,18.61,Lynette Ferens
217,2022-12-19,durian,11.12,Leah Strickett
218,2022-02-07,mango,5.14,Bertie Bruineman
219,2022-02-05,garlic,35.2,Haslett Ivakhno
220,2022-10-27,carrot,41.84,Alameda Alywen
221,2022-04-07,quail,38.39,Annette Trainor
222,2022-01-01,mushroom,29.75,Donnell Simeonov
223,2022-07-30,kiwifruit,28.48,Alexis Hame
224,2022-02-09,pear,33.49,Cordula Ciccone
225,2022-12-24,zucchini,37.99,Claiborne Cardis
226,2022-04-17,mushroom,7.91,Zaria Somner
227,2022-03-18,sweet potato,3.92,Candide Routham
228,2022-02-09,pear,27.67,Archibaldo Tocqueville
229,2022-01-18,eel,22.34,Lorette Moule
230,2022-01-29,kiwifruit,2.07,Perry Strethill
231,2022-01-05,lime,10.64,Fancie Stiller
232,2022-02-13,quail,48.13,Ada Bayless
233,2022-07-05,cantaloupe,28.04,Marcos Dowse
234,2022-04-21,pomegranate,19.79,Kipp Bengtsson
235,2022-04-01,chicken,35.62,Abbott Vedyasov
236,2022-10-06,pork,32.58,Cosette Chataignier
237,2022-05-22,blackberry,33.56,Silvia Broadberrie
238,2022-03-22,lime,14.1,Olivette McParlin
239,2022-08-29,plum,17.71,Joe Upward
240,2022-04-10,cauliflower,41.09,Melisse Burds
241,2022-07-16,snail,17.22,Cristian Parman
242,2022-04-19,potato,14.78,Odetta Petegre
243,2022-10-05,sweet potato,43.14,Ellen Billion
244,2022-03-20,papaya,9.51,Nanice Pietzner
245,2022-11-05,coconut,45.73,Drud ducarme
246,2022-11-16,cucumber,39.73,Gertrud Topliss
247,2022-11-27,persimmon,16.83,Desmond Burmaster
248,2022-01-26,celery,38.62,Chrissie Showte
