Transaction_ID,Transaction_Date,Product,Price,Customer
1,2022-01-28,honeydew melon,35.11,Loy Lauthian
2,2022-08-12,tomato,35.34,Domini Collyns
3,2022-05-30,mushroom,29.05,Sharlene Wandrich
4,2022-08-23,ham,30.06,Hi Guterson
5,2022-05-24,lobster,16.6,Leicester Sheehy
6,2022-05-09,squid,29.64,Dacia Woliter
7,2022-01-24,onion,13.22,Tommy Rouge
8,2022-01-18,rabbit,3.73,Estella Minter
9,2022-01-17,ham,23.88,Cammie Zucker
10,2022-11-01,octopus,9.83,Nerta Prydie
11,2022-12-08,tomato,27.43,Garrard Vaen
12,2022-08-03,blueberry,37.6,Leela Fabbro
13,2022-02-28,grapefruit,49.92,Mirabelle Linacre
14,2022-04-25,turkey,16.42,Netti Bauldrey
15,2022-01-11,ham,18.53,Etti Rainforth
16,2022-12-26,honeydew melon,5.47,Grange Grebert
17,2022-07-01,onion,17.35,Row Labrow
18,2022-12-08,snail,15.9,Sonny Brandts
19,2022-03-16,lychee,5.3,Germaine Wyper
20,2022-11-08,octopus,9.2,Rosa Roony
21,2022-11-11,pumpkin,5.11,Hadleigh Challis
22,2022-08-23,venison,6.53,Gracie Fausset
23,2022-09-28,quail,39.62,Emmeline Corstorphine
24,2022-08-02,potato,45.6,Melinde Wigfield
25,2022-04-11,turtle,13.92,Les Coady
26,2022-08-17,duck,47.0,Had Elmhurst
27,2022-11-30,lemon,32.1,Ursala Cuppleditch
28,2022-08-05,squid,41.97,Juli Raraty
29,2022-03-24,duck,31.61,Rahel Cannicott
30,2022-09-30,squirrel,47.14,Orelia Nangle
31,2022-03-04,fish,17.02,Genevieve Tumayan
32,2022-08-28,broccoli,13.25,Pearline Jinda
33,2022-11-13,turtle,8.6,Pet Bulmer
34,2022-10-31,squirrel,34.93,Ivie Bourhill
35,2022-05-30,cauliflower,36.11,Marketa Flemming
36,2022-10-14,tomato,43.74,Tana Adamoli
37,2022-12-28,kiwifruit,37.91,Malynda Maskrey
38,2022-01-26,ostrich,26.73,Briana Scrivenor
39,2022-02-02,raspberry,16.97,Ashien Dumberrill
40,2022-03-19,blackberry,10.78,Eli Baselli
41,2022-10-09,blueberry,39.3,Jessa Feldberg
42,2022-08-24,venison,39.86,Zacharie Girod
43,2022-01-15,crab,39.77,Kandy Gorioli
44,2022-06-15,onion,4.72,Lena Mazella
45,2022-10-12,frog,34.88,Arliene Shrimpling
46,2022-08-03,onion,41.94,Stanislaw Drewes
47,2022-11-24,papaya,12.28,Leanor McKeighen
48,2022-02-12,fish,47.19,Michale Rigglesford
49,2022-06-15,radish,4.52,Zak Minchella
50,2022-02-21,pineapple,23.34,Lynett Damato
51,2022-05-13,pear,21.08,Cathi Handrik
52,2022-08-06,melon,3.01,Wally Snoxell
53,2022-12-24,apple,32.54,Iorgo Robertsson
54,2022-05-25,passion fruit,26.74,Thoma Devonshire
55,2022-12-29,banana,48.42,Brice Willstrop
56,2022-02-26,grape,42.92,Venus Casaccia
57,2022-06-14,kiwi,45.04,Petrina Schurcke
58,2022-02-28,lettuce,5.41,Patin Woolhouse
59,2022-10-27,bell pepper,34.2,Ursuline Colly
60,2022-09-22,cantaloupe,28.91,Auberta Pirozzi
61,2022-05-22,carrot,46.15,Fernande Weippert
62,2022-02-05,beef,16.59,Gaby Druhan
63,2022-01-08,bell pepper,8.42,Tabbatha Paoletti
64,2022-04-22,celery,46.15,Stefano Kopmann
65,2022-07-05,papaya,4.21,Cati Zoren
66,2022-03-17,raspberry,15.69,Gaelan Hazley
67,2022-07-13,turtle,31.41,Zedekiah Crothers
68,2022-03-04,tomato,21.68,Filmore Bernini
69,2022-11-29,sweet potato,20.74,Sanders Bazek
70,2022-06-09,octopus,13.26,Henri Blinman
71,2022-11-08,garlic,47.79,Parry Chamberlayne
72,2022-08-07,lobster,10.35,Etti Bouch
73,2022-10-24,plum,47.31,Miles Fasham
74,2022-11-15,avocado,8.94,Dulci McCarron
75,2022-05-29,lime,44.57,Andree Joiris
76,2022-03-07,radish,27.04,Irvine Mahon
77,2022-06-25,squirrel,10.76,Selig Tremble
78,2022-02-04,banana,8.77,Cos Veighey
79,2022-03-18,frog,37.87,Otis Vasnetsov
80,2022-02-21,apricot,40.09,Aymer Belshaw
81,2022-11-26,watermelon,35.75,Crosby Inglesent
82,2022-06-19,papaya,45.6,Prudence Chafer
83,2022-04-30,potato,35.46,Roarke Mochar
84,2022-07-09,tomato,27.68,Carling Jopson
85,2022-06-28,date,40.08,Theressa Courtese
86,2022-12-19,ostrich,8.77,Casar Meryett
87,2022-04-11,tangerine,4.68,Waring Puddefoot
88,2022-02-26,clam,41.32,Edd Kilfoyle
89,2022-01-10,octopus,22.25,Bert Purse
90,2022-10-28,lychee,46.22,Christa Nancarrow
91,2022-02-08,lime,26.68,Theodore Rookeby
92,2022-04-08,onion,11.3,Yancy Milham
93,2022-05-26,celery,31.23,Perry Pressdee
94,2022-11-13,blackberry,14.86,Vance Junes
95,2022-01-26,persimmon,30.15,Marlee Biford
96,2022-12-04,lemon,21.6,Moselle Plait
97,2022-08-28,cherry,6.76,Deerdre Mayston
98,2022-07-07,trout,16.84,Debi Schade
99,2022-05-27,lettuce,11.69,Calley Tainton
100,2022-12-23,bacon,40.76,Lynda Pretti
101,2022-08-24,blueberry,32.74,Theadora Boanas
102,2022-08-10,strawberry,6.72,Reine Gatherer
103,2022-11-23,potato,4.53,Holly Orpen
104,2022-07-31,guava,11.67,Ainslie Ownsworth
105,2022-09-20,mushroom,18.55,Barny Kurth
106,2022-03-21,strawberry,30.07,Elsinore Staton
107,2022-08-18,cucumber,30.48,Eben Radmore
108,2022-02-01,frog,12.22,Ashely Keasey
109,2022-12-02,jackfruit,19.02,Lazarus McCauley
110,2022-05-31,lime,9.81,Joanie Hugues
111,2022-12-11,sausage,9.43,Dmitri Dykins
112,2022-09-22,honeydew melon,46.72,Keelby Rusling
113,2022-02-18,ham,6.31,Aloisia Escalero
114,2022-08-04,cantaloupe,9.82,Shem Bubbear
115,2022-07-07,tomato,26.81,Helene Filippo
116,2022-08-04,snail,31.84,Willy Tunstall
117,2022-09-22,blueberry,49.13,Pace Olyfant
118,2022-06-11,papaya,15.38,Agretha Aucoate
119,2022-12-12,apricot,42.28,Bradley Stiegars
120,2022-08-11,veal,3.73,Anselm Bener
121,2022-09-09,watermelon,24.92,Othello Zanini
122,2022-11-17,date,47.82,Lorie Jimeno
123,2022-02-03,passion fruit,34.76,Conroy Hulles
124,2022-09-23,kangaroo,38.12,Donnie Gason
125,2022-09-15,goose,4.52,Vin Gash
126,2022-07-19,strawberry,22.4,Tuesday Orts
127,2022-04-20,apple,34.78,Kylie Prichard
128,2022-05-20,coconut,21.15,Bogey O'Dulchonta
129,2022-12-11,shrimp,26.06,Jobina Entwhistle
130,2022-01-20,mango,13.59,Ema Bown
131,2022-01-21,mushroom,10.36,Hedwiga Attwooll
132,2022-10-07,grapefruit,21.13,Demetris Tytcomb
133,2022-02-27,scallop,32.2,Augustine Fidge
134,2022-06-23,melon,13.78,Jammal Deble
135,2022-10-24,lemon,24.21,Juan Gateley
136,2022-03-31,honeydew melon,13.78,Trefor Mawhinney
137,2022-01-06,spinach,48.5,Isaak Badman
138,2022-01-02,peach,24.75,Aline Echelle
139,2022-11-05,dragonfruit,7.54,Eula Storer
140,2022-03-02,lettuce,31.4,Anya Schuricke
141,2022-06-19,strawberry,45.65,Piper Letixier
142,2022-02-14,jackfruit,2.07,Markus Auden
143,2022-11-22,pomegranate,21.44,Alexina Priel
144,2022-04-11,grape,8.76,Dall Readwood
145,2022-04-05,raspberry,21.9,Peggi Corringham
146,2022-05-26,broccoli,28.46,Kore O'Lunny
147,2022-09-09,fig,15.34,Ingeborg Tippell
148,2022-11-19,lychee,22.28,Kip Larrad
149,2022-04-29,persimmon,23.59,Joellyn O' Hanvey
150,2022-04-09,kangaroo,19.2,Stephannie Linforth
151,2022-09-24,bell pepper,4.05,Guilbert Bernardet
152,2022-05-17,veal,48.19,Estell O'Tuohy
153,2022-01-22,lemon,38.16,Amara Brandino
154,2022-03-18,pear,27.06,Antoni Tremathick
155,2022-02-03,spinach,23.18,Charita Trainer
156,2022-09-30,grapefruit,46.53,Bobina Radbond
157,2022-05-05,quail,13.45,Hew Saveall
158,2022-03-20,peach,8.79,Balduin Biaggi
159,2022-03-17,grape,17.56,Willamina Thomason
160,2022-07-16,zucchini,39.67,Gena Pettegree
161,2022-03-10,zucchini,9.66,Wake Dorrins
162,2022-09-12,guava,8.98,Janene Crossan
163,2022-09-18,raspberry,4.69,Lou De Benedictis
164,2022-04-23,grape,2.45,Jade Malser
165,2022-11-22,pineapple,48.39,Merry Nolder
166,2022-06-04,bell pepper,36.83,Jolene Drought
167,2022-03-02,radish,9.05,Kipp Lower
168,2022-02-23,snail,32.67,Aristotle Corbishley
169,2022-05-19,duck,28.45,Glen Allwell
170,2022-01-25,snail,22.72,Ryun Bravery
171,2022-12-04,shrimp,11.0,Dari Bollands
172,2022-03-15,mango,32.68,Kath Simo
173,2022-08-26,bell pepper,22.63,Bonnie Mechi
174,2022-11-20,eel,7.79,Wayland Pettiford
175,2022-12-19,pumpkin,15.26,Celia Balhatchet
176,2022-07-23,radish,39.13,Carlota Dragon
177,2022-01-08,zucchini,29.9,Reagan Nisbith
178,2022-11-29,garlic,36.87,Violet Markova
179,2022-01-19,broccoli,13.76,Allx Ashling
180,2022-05-24,squid,8.44,Leontyne Snipe
181,2022-11-06,rabbit,14.13,Elvyn Younger
182,2022-11-18,watermelon,14.4,Kitti Broxap
183,2022-01-05,ostrich,22.77,Norry East
184,2022-09-04,grapefruit,25.22,Lottie Dranfield
185,2022-03-28,cucumber,34.07,Josee Swain
186,2022-02-18,ostrich,33.06,Nadeen Scandrite
187,2022-09-27,raspberry,24.31,Gideon Hampson
188,2022-08-07,passion fruit,29.53,Winny Wernham
189,2022-04-13,beef,30.94,Chevalier Dyka
190,2022-11-20,squirrel,7.69,Olenolin Crouch
191,2022-05-16,guava,6.33,Keary Craighill
192,2022-10-09,garlic,40.75,Tabb Dalyell
193,2022-01-05,pork,34.76,Corty Gendricke
194,2022-09-23,salmon,32.28,Yanaton Markus
195,2022-12-26,celery,25.22,Giffer Cleugher
196,2022-05-11,pumpkin,15.97,Pyotr Maddicks
197,2022-12-10,guava,26.46,Lida Petry
198,2022-09-30,lychee,5.61,Buck Brennand
199,2022-06-08,mango,4.15,Beverley Aylett
200,2022-10-21,fig,47.49,Eleanore Raeside
201,2022-10-25,celery,27.43,Rowney Stanway
202,2022-06-14,liver,22.8,Natty Wolsey
203,2022-12-22,pumpkin,37.68,Felecia Challiner
204,2022-03-10,kangaroo,28.53,Clarissa Oller
205,2022-10-12,reindeer,9.3,Kiley Zarfat
206,2022-08-07,fig,2.7,Shermie Stewartson
207,2022-07-05,eggplant,22.87,Marisa Bollis
208,2022-06-17,cauliflower,24.86,Terrye Lillecrap
209,2022-08-20,frog,42.54,Clementine Braghini
210,2022-11-12,kiwifruit,19.2,Florry Arsey
211,2022-07-30,eel,23.54,Zach Whinray
212,2022-12-03,clam,16.19,Edy Leadbeater
213,2022-04-25,quail,5.44,Gilberto Oleksinski
214,2022-02-12,strawberry,19.54,Orbadiah Bathowe
215,2022-10-17,clam,27.18,Demott Kleinhaus
216,2022-09-04,watermelon,24.29,Darb Wisniowski
217,2022-10-07,goose,43.6,Catrina Rubega
218,2022-04-11,artichoke,42.81,Romeo Ferre
219,2022-11-30,cabbage,34.23,Angie Jaquest
220,2022-01-19,passion fruit,49.07,Devin Lowres
221,2022-01-28,celery,36.15,Jyoti Rochford
222,2022-02-20,tangerine,14.65,Annabella Lindenbluth
223,2022-01-28,onion,1.77,Vince McPhaden
224,2022-12-09,onion,20.94,Vergil Hamor
225,2022-03-13,cherry,41.69,Chan Patifield
226,2022-06-23,pear,15.02,Jeddy Bohling
227,2022-04-15,trout,47.15,Marlow Jakeman
228,2022-12-04,blackberry,12.33,Kendell Keppy
229,2022-05-13,bell pepper,38.35,Aubrie Gaishson
