Transaction_ID,Transaction_Date,Product,Price,Customer
1,2022-05-31,lime,32.93,Alwin Poundford
2,2022-08-09,lychee,44.63,Kameko Surmon
3,2022-03-11,durian,31.63,Georgi Stanluck
4,2022-06-28,salmon,4.79,Germana Badrick
5,2022-12-18,banana,34.5,Linnea Seagood
6,2022-08-20,celery,39.7,Griffith Charlick
7,2022-02-12,snail,39.15,Linus Jiras
8,2022-02-08,turkey,16.06,Olivie Hanmore
9,2022-11-27,pomegranate,34.13,Torr Starking
10,2022-08-02,durian,21.12,Aurelea Cheves
11,2022-03-02,liver,45.79,Lorilee Bourdas
12,2022-06-02,blueberry,42.2,Mercie Mowling
13,2022-03-06,cherry,28.56,Alexi Fetters
14,2022-08-23,bell pepper,26.26,Khalil Duthie
15,2022-11-07,celery,20.83,Lu Tick
16,2022-05-02,blackberry,28.13,Burnard Goutcher
17,2022-02-13,fig,5.78,Rafi Toth
18,2022-05-10,fig,11.35,Claribel Gregh
19,2022-01-09,sausage,28.05,Martie Enochsson
20,2022-07-17,turtle,24.06,Phillip Floris
21,2022-11-27,strawberry,9.37,Flinn Booeln
22,2022-10-18,ginger,35.73,Torrie Rosenboim
23,2022-01-09,cantaloupe,20.8,Dierdre Sartin
24,2022-05-23,papaya,39.92,Ame Mitkov
25,2022-01-18,quail,12.28,Jenine Digance
26,2022-02-28,durian,17.21,Ernesto Northridge
27,2022-05-12,dragonfruit,18.1,Deirdre De Mico
28,2022-06-19,onion,16.66,Rebekah Dyshart
29,2022-10-26,kangaroo,43.98,Clim Rudledge
30,2022-10-30,sausage,44.69,Latisha Paynton
31,2022-05-06,lime,20.79,Berkly Roust
32,2022-09-16,zucchini,44.14,Si Zanutti
33,2022-08-21,blackberry,18.51,Enid Perotti
34,2022-05-13,garlic,7.69,Kippy Tomaskov
35,2022-09-02,carrot,38.99,Sande Kirdsch
36,2022-01-16,salmon,44.15,Rowan Sabati
37,2022-02-25,dragonfruit,46.41,Standford Parysowna
38,2022-04-20,veal,29.21,Olivia Coppock.
39,2022-02-01,kiwifruit,9.19,Delbert Fillary
40,2022-09-14,bell pepper,25.08,Margarette Sims
41,2022-08-20,kangaroo,18.35,Mair Rowthorn
42,2022-11-27,duck,32.72,Tanya Andrat
43,2022-02-27,mango,43.9,Trula Patley
44,2022-07-25,duck,31.22,Ursula Bore
45,2022-05-03,kiwifruit,18.97,Rubina Hicklingbottom
46,2022-04-27,reindeer,30.2,Codi Tabard
47,2022-06-08,peach,34.61,Inesita Schrei
48,2022-06-04,artichoke,12.14,Shane Toomey
49,2022-12-11,peach,25.85,Deny Ruler
50,2022-06-06,kiwi,10.32,Row Whiteley
51,2022-05-25,lobster,31.72,Brynne Rosewall
52,2022-11-05,celery,39.44,Dara Beckers
53,2022-09-15,orange,11.9,Ambrosi Goulbourne
54,2022-01-23,rabbit,44.54,Christian Tomczak
55,2022-05-25,pineapple,1.46,Bernadene Litchmore
56,2022-03-06,chicken,16.59,Frants Honnan
57,2022-11-04,persimmon,25.16,Field Ygo
58,2022-11-01,beef,2.48,Tabbie Rowlstone
59,2022-09-08,ostrich,37.21,Lyle Muspratt
60,2022-08-16,lettuce,18.05,Abey Swannie
61,2022-04-21,jackfruit,47.88,Margalit Olenikov
62,2022-09-16,reindeer,27.77,Joice Verbrugghen
63,2022-07-17,jackfruit,43.29,Micky Reisen
64,2022-08-09,eel,47.37,Woodman Breache
65,2022-12-05,ostrich,47.31,Eileen Pygott
66,2022-12-09,cauliflower,23.1,Damien Pinar
67,2022-11-10,oyster,19.48,Marrilee Pipworth
68,2022-09-24,blueberry,33.97,Patrizia Callow
69,2022-05-02,liver,21.95,Willis Eaklee
70,2022-03-13,zucchini,45.03,Garrott Keyson
71,2022-03-21,ginger,11.08,Zorah Belchamber
72,2022-02-03,pork,28.8,Emilee Canter
73,2022-10-11,honeydew melon,13.41,Ardith Oboy
74,2022-04-06,asparagus,44.41,Merwin Stanway
75,2022-06-14,blackberry,7.28,Abby Southon
76,2022-09-05,orange,33.64,Alexi Giorgeschi
77,2022-12-04,apricot,30.9,Con Howatt
78,2022-07-25,fig,29.96,Arlette Shearman
79,2022-08-25,cantaloupe,36.45,Kasper Sexty
80,2022-10-22,bacon,27.29,Maitilde Bonny
81,2022-03-30,fish,12.11,Antonio Alcorn
82,2022-02-14,venison,10.78,Jocelin Price
83,2022-03-14,durian,35.94,Caro Saile
84,2022-12-16,octopus,42.72,Trina Worsalls
85,2022-08-16,kiwifruit,12.64,Joy Measham
86,2022-09-22,veal,9.31,Mauricio Sichardt
87,2022-12-16,strawberry,28.25,Fenelia McGhee
88,2022-01-20,scallop,4.15,Linette Penhallurick
89,2022-10-19,cherry,20.48,Aurilia Arnould
90,2022-04-10,veal,23.32,Leonelle Petronis
91,2022-09-30,eel,3.12,Saba Arlow
92,2022-11-30,ginger,27.67,Isobel Denmead
93,2022-10-15,lychee,16.07,Bengt Huckell
94,2022-11-15,quail,11.96,Letisha Palley
95,2022-02-28,fig,47.33,Conan Lalonde
96,2022-09-20,lychee,3.22,Otho Crispe
97,2022-10-19,cherry,48.93,Chas MacMoyer
98,2022-07-13,ham,40.89,Judi Smalecombe
99,2022-02-17,raspberry,1.94,Frayda Jurgensen
100,2022-01-20,cucumber,41.59,Veronique Kohen
101,2022-11-29,ostrich,29.78,Roze Algie
102,2022-06-20,coconut,25.82,Palmer Urrey
103,2022-05-01,blackberry,2.07,Ambur Shearmer
104,2022-12-03,kangaroo,7.42,Abeu Meni
105,2022-08-14,garlic,8.48,Bernie Smorthwaite
106,2022-08-21,squid,1.9,Bartholomeus Breddy
107,2022-02-03,raspberry,14.35,Lorelei Baff
108,2022-09-11,pumpkin,48.56,Orelle Dryburgh
109,2022-02-15,pomegranate,6.17,Meta Hundy
110,2022-10-01,orange,17.54,Bartholemy Jecks
111,2022-02-28,shrimp,31.28,Timmie Wann
112,2022-05-23,sweet potato,5.58,Nollie Lesslie
113,2022-09-10,bell pepper,42.77,King Tresise
